primaryspaceusage,sub_primaryspaceusage
Education,Academic
Education,Auditorium
Education,Classroom
Education,College Classroom
Education,College Laboratory
Education,Education
Education,K-12 School
Education,Other - Education
Education,Primary/Secondary Classroom
Education,Research
Education,School
Education,Student Center
Education,Student Union
Entertainment/public assembly,Athletic
Entertainment/public assembly,Athletic Field
Entertainment/public assembly,Community Center
Entertainment/public assembly,Conference Center
Entertainment/public assembly,Entertainment/public assembly
Entertainment/public assembly,Fitness Center
Entertainment/public assembly,Gymnasium
Entertainment/public assembly,Ice Arena
Entertainment/public assembly,Ice arena
Entertainment/public assembly,Museum
Entertainment/public assembly,Other - Entertainment/Public Assembly
Entertainment/public assembly,Other - Recreation
Entertainment/public assembly,Park
Entertainment/public assembly,"Park, Community Centers"
Entertainment/public assembly,Planetarium
Entertainment/public assembly,Recreation Center
Entertainment/public assembly,"Recreation Center, Community Centers"
Entertainment/public assembly,Sports Arena
Entertainment/public assembly,Sports Facility
Entertainment/public assembly,Sports Stadium
Entertainment/public assembly,Stadium
Entertainment/public assembly,Swimming Pool
Entertainment/public assembly,Theater
Food sales and service,Bar/Tavern
Food sales and service,Dining
Food sales and service,Market
Food sales and service,Restaurant
Healthcare,Creamatorium
Healthcare,Health Services
Healthcare,Hospital
Healthcare,Hospital (General Medical & Surgical)
Healthcare,Other/Specialty Hospital
Healthcare,Patient Care
Healthcare,Senior Care Community
Healthcare,Support
Healthcare,Urgent Care Center/Clinic/Other Outpatient Office
Lodging/residential,Dormitory
Lodging/residential,Hotel
Lodging/residential,Housing
Lodging/residential,Lodging/residential
Lodging/residential,Multifamily Housing
Lodging/residential,Other - Lodging/Residential
Lodging/residential,Residence Hall
Lodging/residential,Residence Hall	
Lodging/residential,Residence Hall/Dormitory
Manufacturing/industrial,Greenhouse
Manufacturing/industrial,Industrial
Manufacturing/industrial,Manufacturing Facility
Office,Office
Other,Animal Kennels
Other,Animal Shelter
Other,Campsites
Other,Other
Parking,Parking
Parking,Parking Garage
Parking,Parking: Enclosed Garage
Parking,Parking: Open Air Ramp
Public services,"Community Center, Community Centers"
Public services,Fire Station
Public services,"Fire Station, Fire Stations"
Public services,Library
Public services,"Office, Fire Stations"
Public services,Other - Public Services
Public services,Police Station
Public services,Prison/Incarceration
Public services,Public Service
Public services,Public services
Public services,Social/Meeting Hall
Religious worship,Chapel
Religious worship,Religious building
Religious worship,Worship Facility
Retail,Retail
Retail,Retail Store
Services,Maintenance Repair Shop
Services,garage
Technology/science,Data Center
Technology/science,Data Centre
Technology/science,Lab Building
Technology/science,Technology/science
Utility,Central Plant
Utility,Services Plant
Utility,Utility
Warehouse/storage,Non-Refrigerated Warehouse
Warehouse/storage,Warehouse
Warehouse/storage,Warehouse (Conditioned)
Warehouse/storage,Warehouse (Unconditioned)
